name,recipie,category,image_name,image_ext,image_url
Flower Moon,"3/4 oz. Monin Lavender Lemon Syrup
4 oz. lemonade
3 oz. club soda

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657746_153235.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/f/l/flower_moon.png
Fraise Rose Palmer,"20 ml Monin Sirop Fraise Rose
120 ml thé vert
90 ml limonade

Remplir le verre de glaçons.
Ajouter les ingrédients dans l&#x27;ordre listé.
Passer d&#x27;un verre à l&#x27;autre pour mélanger.
Décorer.",lemonade,1725657750_8957393.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/s/t/strawberry_rose_palmer_1_1.png
Fresh Coconut Lemonade,"2 pump(s) Monin Coconut Concentrated Flavor
6 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657755_655459.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/5/3/53d5a76e-3a1e-4dd5-a100-92cd4cb535ff-2.png
Fresh Handcrafted Lemonade,"8 oz. Monin Pure Cane Syrup
8 oz. fresh lemon juice
16 oz. water

Combine ingredients in pitcher and stir well.
Cover, date and refrigerate until needed.",lemonade,1725657760_4406009.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/0/6/06cc21c1-0444-4e5d-8d80-676382a7c6df-2.png
Frosted Coconut Limeade,"2 oz. Monin Coconut Purée
3 oz. lemonade
1 oz. fresh lime juice
ice

Fill serving glass full of ice.
Pour ingredients into blender cup in order listed.
Add ice from serving glass, cap, and blend until smooth.
Pour back into serving glass, add garnish and serve.",lemonade,1725657765_3756683.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/e/b/ebbd3383-8929-4d97-a799-a1b328af44bd-1_1.png
Frosted Mango Lemonade,"ice
1 oz. Monin Lemon Syrup
7 oz. Monin Mango Fruit Smoothie Mix

Fill serving glass full of ice.
Pour ingredients into blender cup in order listed.
Add ice from serving glass, cap, and blend until smooth.
Pour back into serving glass, add garnish and serve.",lemonade,1725657770_26404.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/a/d/ad24bb9d-0ba5-4bbc-b50f-6e37e3cb0dd6-2.png
Frosted Peach Lemonade,"1 oz. Monin Lemon Syrup
7 oz. Monin Peach Fruit Smoothie Mix

Fill serving glass with ice.
Add remaining ingredient(s).
Pour all into blender and blend until smooth.
Garnish.",lemonade,1725657775_0250127.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/d/c/dcbad46a-a434-4e99-8bda-3b0fdb53e6e6-1_1.png
Frosted Strawberry Lemonade,"1 oz. Monin Lemon Syrup
1 oz. Monin Strawberry Fruit Smoothie Mix
ice

Fill serving glass with ice.
Add remaining ingredient(s).
Pour all into blender and blend until smooth.
Garnish.",lemonade,1725657779_9198964.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/6/1/61b7df6c-9730-4d9f-bc0d-6f6475c6504a-1.png
Frozen Exotic Citrus Lemonade,"2 1/2 oz. Monin Exotic Citrus Syrup
1/2 oz. Monin Mojito Mix
5 oz. lemonade
Fill with ice

Fill serving glass full of ice.
Pour ingredients into blender cup in order listed.
Add ice from serving glass, cap, and blend until smooth.
Pour back into serving glass, add garnish and serve.",lemonade,1725657784_9401112.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/4/2/425960aa-12c4-405d-a03b-82dd52c6bae5-1.png
Frozen Gingerbread Mudslide,"1 oz. Monin Gingerbread Syrup
1 1/2 oz. Monin Irish Cream Syrup
2 scoop(s) vanilla ice cream
1/2 cup(s) crushed ice
2 oz. milk
1 oz. Monin Espresso Syrup

Fill serving glass ½ full of ice.
Pour ingredients into blender cup in order listed.
Add ice from serving glass, cap, and blend until smooth.
Pour back into serving glass, add garnish and serve.",lemonade,1725657789_9632301.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/f/1/f1d4d6d8-d060-45e7-ac85-c68251bbb246-1_1.png
